t,mRNA_R,A,R,PrmA,PrmR,C,PrmA_bound,PrmR_bound,mRNA_A_
4.25000000000000000E+01,2.60360299812185611E-04,5.66079075896297533E-04,1.53001161431014804E-01,3.93750835264939302E-04,3.95080377359003547E-04,1.03482345059457859E-01,2.67359803928367291E-06,1.34405594522008599E-06,2.10001540520520424E-03
4.30000000000000000E+01,2.35909347416421336E-04,6.28258929472700007E-04,1.38603894358909713E-01,3.93459490288216793E-04,3.94933330492869110E-04,1.03928656703083655E-01,2.96494301600620871E-06,1.49110281135448788E-06,2.11283093086972202E-03
4.35000000000000000E+01,2.20324219167013680E-04,6.98200235710246626E-04,1.25471855097831680E-01,3.93132327903054945E-04,3.94768072192101783E-04,1.04435623904726521E-01,3.29210540116799184E-06,1.65636111212184325E-06,2.12721806465922432E-03
4.40000000000000000E+01,2.12076475577748874E-04,7.77053975482338882E-04,1.13498866715913471E-01,3.92764158374786303E-04,3.94581928729055488E-04,1.05008408331540348E-01,3.66027492943653614E-06,1.84250457516815119E-06,2.14340120591505548E-03
4.45000000000000000E+01,2.10041024665110317E-04,8.66218028058539846E-04,1.02583663262012806E-01,3.92348728556726496E-04,3.94371670484028780E-04,1.05654339035809799E-01,4.07570474749636910E-06,2.05276282019489411E-06,2.16165149774525962E-03
4.50000000000000000E+01,2.13420941500427018E-04,9.67407797727692920E-04,9.26302745194974991E-02,3.91878401445856176E-04,3.94133341870521112E-04,1.06382923552440056E-01,4.54603185836661314E-06,2.29109143370231749E-06,2.18229854482690500E-03
4.55000000000000000E+01,2.21693920505786497E-04,1.08277036547924240E-03,8.35479726722735822E-02,3.91343673038798952E-04,3.93862013891800881E-04,1.07206121865410620E-01,5.08076026542394326E-06,2.56241941242264776E-06,2.20575256517854291E-03
4.60000000000000000E+01,2.34577141564965670E-04,1.21505744851966983E-03,7.52508490713788697E-02,3.90732435784709885E-04,3.93551376974925790E-04,1.08138898137284861E-01,5.69199751951300539E-06,2.87305632929775532E-06,2.23253194916498473E-03
4.65000000000000000E+01,2.52010850311633328E-04,1.36788374020014409E-03,6.76570229484361740E-02,3.90028886572672969E-04,3.93193177219627226E-04,1.09200142441691253E-01,6.39554673155003377E-06,3.23125608459635421E-06,2.26331074040455509E-03
4.70000000000000000E+01,2.74162533406892219E-04,1.54616167568299859E-03,6.06873891620135289E-02,3.89211695637075813E-04,3.92776234616343668E-04,1.10414137503935014E-01,7.21273766714725577E-06,3.64819868788000589E-06,2.29899256588993271E-03
4.75000000000000000E+01,3.01458783752979237E-04,1.75684954236105732E-03,5.42636687515080998E-02,3.88250878179316407E-04,3.92284774628034745E-04,1.11812923393616828E-01,8.17355512490663551E-06,4.13965867618886883E-06,2.34083717469131493E-03
4.80000000000000000E+01,3.34661027739632517E-04,2.01032364435955362E-03,4.83052254300901859E-02,3.87102089519568632E-04,3.91695374007456363E-04,1.13440265025148410E-01,9.32234378465441013E-06,4.72905929676730249E-06,2.39068912963870134E-03
4.85000000000000000E+01,3.75022767681175927E-04,2.32312590239090559E-03,4.27235555184048849E-02,3.85695313954431110E-04,3.90970876742687272E-04,1.15358668819218926E-01,1.07291193497919463E-05,5.45355656153639468E-06,2.45142272122600207E-03
4.90000000000000000E+01,4.24617675521825398E-04,2.72402902576736111E-03,3.74118534315226806E-02,3.83910201986368768E-04,3.90047050560775321E-04,1.17662654811965625E-01,1.25142313178542662E-05,6.37738274344844370E-06,2.52789626101162547E-03
4.95000000000000000E+01,4.87081293788367922E-04,3.26933185853429563E-03,3.22233289142079271E-02,3.81514928961561978E-04,3.88799236771770812E-04,1.20506054361237333E-01,1.49095043426610999E-05,7.62519653245297880E-06,2.62926131075419357E-03
5.00000000000000000E+01,5.69533327495588045E-04,4.08909332778513608E-03,2.69213474747572075E-02,3.77986014056942428E-04,3.86942879195354198E-04,1.24163900918993042E-01,1.84384192472806724E-05,9.48155410886977320E-06,2.77555302353508018E-03
5.05000000000000000E+01,6.88735866952071003E-04,5.56920946754456067E-03,2.10544949705779305E-02,3.71829092680367619E-04,3.83650769116343558E-04,1.29186448695478601E-01,2.45953406238554977E-05,1.27736641878803044E-05,3.02145353184942768E-03
5.10000000000000000E+01,8.98460794474114656E-04,9.42224219253828127E-03,1.37019328493036569E-02,3.56935559330981390E-04,3.75410769972148823E-04,1.36736657332508116E-01,3.94888739732416426E-05,2.10136633320749781E-05,3.57642637281664882E-03
5.15000000000000000E+01,1.47284829193418333E-03,2.83730342126555374E-02,4.92135928617048156E-03,2.98686554162109206E-04,3.39790846824123002E-04,1.47409578474895386E-01,9.77378791421137114E-05,5.66335864801006608E-05,5.60809597046703009E-03
5.20000000000000000E+01,3.53799158782027280E-03,1.16281423747643886E-01,1.26114665731219414E-03,1.67018011703709351E-04,2.34456372635974208E-04,1.56617173429467571E-01,2.29406421600513539E-04,1.61968060668249279E-04,1.11697631955998827E-02
5.25000000000000000E+01,7.37576556044961321E-03,2.61714247475910378E-01,6.59139262810566054E-04,9.58571854745366629E-05,1.54285663647333693E-04,1.70558779954298440E-01,3.00567247829686254E-04,2.42138769656889821E-04,1.50529199172119051E-02
5.30000000000000000E+01,1.15464198137325558E-02,3.81313850362285045E-01,5.48680996730630281E-04,7.09875640728394795E-05,1.20389837069244894E-04,1.94306900935636240E-01,3.25436869231383722E-04,2.76034596234978687E-04,1.64635533862248669E-02
5.35000000000000000E+01,1.52804025471270314E-02,4.51495502830971951E-01,5.59224313563529726E-04,6.16100790465223266E-05,1.06638997613705814E-04,2.27898951800283273E-01,3.34814354257700875E-04,2.89785435690518092E-04,1.69871171622616307E-02
5.40000000000000000E+01,1.83750366266770999E-02,4.78582348608200703E-01,6.27229442432962751E-04,5.86121737377479166E-05,1.02123813886098366E-04,2.69979287721349048E-01,3.37812259566475244E-04,2.94300619418125622E-04,1.71681113300817811E-02
